index,cameraName,cameraIndexCode,gbIndexCode,channelNo,hlsUrl
37,2号配电间,1dd2ddc46820496cb7d3f172b1fbcb91,42011101581314000614,5,http://111.4.138.205:18080/hls/1dd2ddc46820496cb7d3f172b1fbcb91/index.m3u8
38,D6栋1F,4e0b5d502d784c00a85d002b459a4c46,42011101581314000613,6,http://111.4.138.205:18080/hls/4e0b5d502d784c00a85d002b459a4c46/index.m3u8
39,D3鹰眼180,6a120c45f0924ebba7d2a1186badb949,42011101581314000612,7,http://111.4.138.205:18080/hls/6a120c45f0924ebba7d2a1186badb949/index.m3u8
40,D3-1F南大厅,007f58f7531e42b0a0322adce9ffbdb1,42011101581314000611,8,http://111.4.138.205:18080/hls/007f58f7531e42b0a0322adce9ffbdb1/index.m3u8
41,中控室,fb850cf712b14bf29be7fb7be656758f,42011101581314000610,1,http://111.4.138.205:18080/hls/fb850cf712b14bf29be7fb7be656758f/index.m3u8
42,配电室2,8d8d67c855144c219fb50026e5de26c4,42011101581314000609,2,http://111.4.138.205:18080/hls/8d8d67c855144c219fb50026e5de26c4/index.m3u8
43,消防泵房,46127e7ae232425ea3cfcc1c0ae5b2ba,42011101581314000608,3,http://111.4.138.205:18080/hls/46127e7ae232425ea3cfcc1c0ae5b2ba/index.m3u8
44,配电室1,4ab47990679849138dbb53143f669a7e,42011101581314000607,4,http://111.4.138.205:18080/hls/4ab47990679849138dbb53143f669a7e/index.m3u8
45,消房泵房监控,a86194883aff480388bcc66c76018e8f,42011101581314000606,12,http://111.4.138.205:18080/hls/a86194883aff480388bcc66c76018e8f/index.m3u8
46,水泵房监控4,1783ec7c10a2433aa1e4f7afcd334f61,42011101581314000605,16,http://111.4.138.205:18080/hls/1783ec7c10a2433aa1e4f7afcd334f61/index.m3u8
47,水泵房监控5,dea79359dff1400aac15fc186b6df136,42011101581314000604,17,http://111.4.138.205:18080/hls/dea79359dff1400aac15fc186b6df136/index.m3u8
48,高压配电室监控,d51f16e76ea842418c8c192b3871f3ad,42011101581314000603,18,http://111.4.138.205:18080/hls/d51f16e76ea842418c8c192b3871f3ad/index.m3u8
49,高压配电室监控2,8962f98d19af46e8ae44978123f7a142,42011101581314000602,19,http://111.4.138.205:18080/hls/8962f98d19af46e8ae44978123f7a142/index.m3u8
50,305岗亭监控,ab3f2359c78a47ee81ef511aaa33ab5b,42011101581314000601,20,http://111.4.138.205:18080/hls/ab3f2359c78a47ee81ef511aaa33ab5b/index.m3u8
51,309岗监控,53d3805048a449b6aaf00e76222d2b0c,42011101581314000600,21,http://111.4.138.205:18080/hls/53d3805048a449b6aaf00e76222d2b0c/index.m3u8
52,物业前台,8b529267feaf425681e6746ee8b6aab8,42011101581314000599,22,http://111.4.138.205:18080/hls/8b529267feaf425681e6746ee8b6aab8/index.m3u8
53,监控室监控,1d867ee986a249c3baa590b86c5bf65a,42011101581314000598,23,http://111.4.138.205:18080/hls/1d867ee986a249c3baa590b86c5bf65a/index.m3u8
54,配电室01,ceacca9896a840d1ae3132a464f70714,42011101581314000596,28,http://111.4.138.205:18080/hls/ceacca9896a840d1ae3132a464f70714/index.m3u8
55,消防泵01,093d079b4c564177a186d5fea339b325,42011101581314000595,29,http://111.4.138.205:18080/hls/093d079b4c564177a186d5fea339b325/index.m3u8
56,配电房03,269b1a8370094af79b4d351325ef1a2f,42011101581314000594,30,http://111.4.138.205:18080/hls/269b1a8370094af79b4d351325ef1a2f/index.m3u8
57,生活水泵房01,7773d41934a8439892cc0dd4714f567b,42011101581314000593,31,http://111.4.138.205:18080/hls/7773d41934a8439892cc0dd4714f567b/index.m3u8
58,消控室,1bbcd68a357a41b8a97a2e0a846a915c,42011101581314000592,32,http://111.4.138.205:18080/hls/1bbcd68a357a41b8a97a2e0a846a915c/index.m3u8
